seed,success,failure,place_err_m,policy_ms_mean,policy_ms_p95
0,True,,0.01983364901436582,2.3030647507403046,2.720120036974542
1,False,a_grasp_miss,0.21318478232698776,2.3739277466665953,4.744289885275047
2,True,,0.022129312334582305,2.2124687349423766,2.4196650367230177
3,True,,0.02650043121706761,2.236389247700572,2.444819873198867
4,False,handoff_miss,0.12278212543814743,2.058176747523248,2.58687976747751
5,False,place_off_target,0.14804432079321392,2.479900505859405,4.932379839010535
6,False,place_off_target,0.034299218781484384,2.680766995763406,4.154564836062488
7,False,a_grasp_miss,0.13862136607935596,2.4704445095267147,3.7706450326368164
8,False,a_grasp_miss,0.2090309309102234,2.3659262724686414,3.8761900970712193
9,True,,0.027712671782738,2.1851182484533638,2.9877103632315962
10,False,a_grasp_miss,0.19162583852771117,2.2658059909008443,2.711634710431098
11,False,a_grasp_miss,0.19149499525315689,2.232541006524116,2.546045067720103
12,False,a_grasp_miss,0.2349817318901637,2.393120244378224,3.6537098232656517
13,False,place_off_target,0.0587997637279255,2.121958256466314,2.5081148836761695
14,True,,0.013730454882927106,2.0937222486827523,2.5300499051809267
15,False,a_grasp_miss,0.18778093665529902,2.2362752677872777,3.8875550962984486
16,False,a_grasp_miss,0.21274129347681578,2.226374769816175,2.581370412372051
17,True,,0.013851272338844547,2.240888250526041,3.568689920939502
18,True,,0.006872599612637502,2.132266991538927,2.5212999433278966
19,False,handoff_miss,0.11436804486029414,2.3051572556141764,4.584694816730882
